# IN-CORPUS QRELS for SQUAD evaluation set on FineWeb
# Generated: 2026-02-07T23:38:23.651763
# Model: Qwen/Qwen3-8B
# Top-K: 100
# Total questions: 10570
# Questions with verified: 7560
# Total verified docs: 145918
#
# Format: qid, question, official_answer, doc_id, answer_offset
#====================================================================

0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_01394_6521, 12949
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_01421_30358, 12949
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00476_42194, 14283
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_01051_15811, 14818
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00156_46809, 14880
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00497_20502, 14880
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00290_5467, 3264
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_01820_44287, 2037
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00867_45746, 5222
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00386_12397, 5222
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00981_33578, 32447
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00346_21616, 32447
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00354_51636, 32447
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_01256_8922, 32447
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_01571_23896, 37432
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_01008_52962, 851
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_01185_49956, 65051
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00108_11201, 8929
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00081_4338, 3489
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00428_50415, 10668
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00309_38252, 8913
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00001_16417, 8913
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_01019_26601, 8897
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00189_10806, 137628
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00780_16573, 8591
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_01714_6832, 8591
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_01455_19224, 32301
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00174_8092, 10319
0, Which NFL team represented the AFC at Super Bowl 50?, Denver Broncos, shard_00483_2437, 9054
