3	Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?
4	The director of the romantic comedy "Big Stone Gap" is based in what New York city?
5	2014 S/S is the debut album of a South Korean boy group that was formed by who?
6	Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?
7	The arena where the Lewiston Maineiacs played their home games can seat how many people?
8	Who is older, Annie Morton or Terry Richardson?
9	Are Local H and For Against both from the United States?
10	What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?
11	What screenwriter with credits for "Evolution" co-wrote a film starring Nicolas Cage and Téa Leoni?
12	What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?
13	Are Random House Tower and 888 7th Avenue both used for real estate?
16	The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?
20	Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?
23	Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?
24	What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?
28	Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?
29	What is the name for the adventure in "Tunnels and Trolls", a game designed by Ken St. Andre?
30	When was Poison's album "Shut Up, Make Love" released?
31	Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?
33	Are Freakonomics and In the Realm of the Hackers both American documentaries?
34	Which band, Letters to Cleo or Screaming Trees, had more members?
41	Where is the company that Sachin Warrier worked for as a software engineer headquartered?
42	A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?
44	Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?
46	Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?
49	Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?
50	Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?
51	In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?
53	In what city did the "Prince of tenors" star in a film based on an opera by Giacomo Puccini?
54	Ellie Goulding worked with what other writers on her third studio album, Delirium?
55	Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.
56	D1NZ is a series based on what oversteering technique?
57	who is younger Keith Bostic or Jerry Glanville ?
58	According to the 2001 census, what was the population of the city in which Kirton End is located?
60	What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?
62	Who was born earlier, Emma Bull or Virginia Woolf?
63	What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?
64	Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?
66	Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?
67	What is the name of the singer who's song was released as the lead single from the album "Confessions", and that had popular song stuck behind for eight consecutive weeks?
68	who is the younger brother of The episode guest stars of The Hard Easy
69	The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?
73	What was the name of the 1996 loose adaptation of William Shakespeare's "Romeo & Juliet" written by James Gunn?
74	Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?
75	What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?
76	What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?
77	Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?
81	The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?
83	Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?
84	What was the name of a woman from the book titled "Their Lives: The Women Targeted by the Clinton Machine " and was also a former white house intern?
85	When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?
86	In what year was the novel that Lourenço Mutarelli based "Nina" on based first published?
88	How many copies of Roald Dahl's variation on a popular anecdote sold?
89	What occupation do Chris Menges and Aram Avakian share?
90	Andrew Jaspan was the co-founder of what not-for-profit media outlet?
91	Which American film director hosted the 18th Independent Spirit Awards in 2002?
92	Where does the hotel and casino located in which Bill Cosby's third album was recorded?
94	In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held?
95	Tysons Galleria is located in what county?
96	Bordan Tkachuk was the CEO of a company that provides what sort of products?
97	Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?
98	In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?
101	David Huntsinger has worked with this gospel singer born in the month of July?
102	What year was the brother of this first round draft pick by the Washington Redskins drafted?
103	Where is the stadium at which 1964 Georgia Tech Yellow Jackets football team played their home game located?
105	Which American film actor and dancer starred in the 1945 film Johnny Angel?
108	When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born?
109	Which airplane was this Major test-flying after whom the base, that 514th Flight Test Squadron is stated at, is named?
110	Based on a True Story... is an album by which country music star, with the single My Eyes?
111	Over how many centuries were the "dwelling place of the dead" built?
112	When was the British author who wrote the novel on which "Here We Go Round the Mulberry Bush" was based born?
113	Who died first, George Archainbaud or Ralph Murphy?
115	The Argentine PGA Championship record holder has won how many tournaments worldwide?
116	Suicide's 1977 released album features a song based on what brand's comic character?
118	Were the bands Skin Yard and Ostava from the U.S.?
120	What major truck road is located in Backford Cross?
121	In which role did Caroline Carver played in a 1999 Hallmark Entertainment made-for-TV fantasy movie?
122	What's the name of the fantasy film starring Sarah Bolger, featuring a New England family who discover magical creatures around their estate?
123	Maxeda has been owned since 2004 by which American multinational equity firm?
124	The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?
125	Mummulgum is a stop on the Bruxner Highway before reaching the town on the banks of which river?
126	Which American audio engineer and clandestine chemist, who was a key figure in the San Francisco Bay Area hippie movement during the 1960s recorded the album "Old and in the Way?"
130	Which film was Oscar nominated, LaLee's Kin: The Legacy of Cotton or Gimme Shelter, the 1970 Rolling Stones documentary?
131	Which board game was published most recently, Pirate's Cove or Catan?
132	Alice David is the voice of Lara Croft in a video game developed by which company ?
133	Which Eminem album included vocals from a singer who had an album titled "Unapologetic"?
135	SuperMansion starred the actress who had a recurring role as whom on Workaholics?
136	The 1974 Texas Tech Raiders football team represented what public research university in Lubbock, Texas?
139	What year was the film that starred the composer for "The Naked Brothers Band"?
141	Who had the best singles ranking, Roberta Vinci or Jorge Lozano?
142	Both Truth in Science and Discovery embrace what campaign?
143	Josey Scott and Ian Watkins were both promising musicians. Which of these talented men was incarcerated, impacting his career with a rock band?
144	The movies Queen of Blood and Battle Beyond the Sun both contained scenes from what 1959 Soviet feature?
145	Who was born first, Erika Jayne or Marco Da Silva
146	When did the English local newspaper, featuring the sculpture and war memorial in the Forbury gardens, change names?
148	Who is Bruce Spizer an expert on, known as the most influential act of the rock era?
149	Which song was behind the third single on the album  "A Lot About Livin' (And a Little 'bout Love)" for two weeks on the country charts?
150	What occupation was shared by David Yates and Pietro Germi?
151	Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?
157	What retailer in ABQ Uptown is headquarted in Poole, Dorset, United Kingdom?
158	What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?
159	The song "Chim Chim Cher-ee" can be heard  in the "Mary Poppins" scene of a Disney ride that debuted in what year?
160	Who held the record for the longest service in the Australian Parliament for a woman, and was surpassed by  a former Australian politician who was the 29th Speaker of the House of Representatives?
161	Which man who presented the Australia 2022 FIFA World Cup bid was born on October 22, 1930?
162	What major city is the Faith Lutheran Middle School and High School located by?
163	What British singer-songwriter hosted the 16th Annual Young Hollywood Awards?
164	Who did the Star and Dagger bass player marry?
165	In 2017, what was 3/4th of the organization that also has a Center for Veterinary Medicine as well as part of the U.S. Department of Health and Human Services, spent on?
166	Which came out first, Dinosaur or McFarland, USA
167	Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?
168	What was the 58th quadrennial American presidential election held after the 2016 Michigan Democratic primary?
170	What is the name of the detective novelist parent of the author of '"Q" Is for Quarry'?
171	What is the birthplace of the Senator who represents the first of 62 districts in the State Senate?
173	Which songwriting duo composed music for "La La Land", and created lyrics for "A Christmas Story: The Musical"?
174	Which of the city at the south of Shelly Beach, New South Wales is a local government area in the Hunter region of New South Wales, Australia?
175	Are Bamboo Mañalac and Danny Jones both musicians?
176	Works by Hanna Leena Kristiina Varis are part of a collection in a museum that houses approximately 65,000 what?
177	When was the Western Germanic language spoken from which the small settlement situated on the river Leda opposite Leer derives its name?
178	Born on 6 March 1937, this man was also a citizen of the United Kingdom.
180	What podcast was the cheif executive officer of Nerdist Industries a guest on?
181	Randall Cunningham II was a multi-sport athlete at the high school located in what Nevada city?
182	Which English musician is known for both the songs "See Yourself" and "Withing You Without You"?
183	Which professional ice hockey position does the Captain of the National Hockey League All-Star Game "Away Team" play?
184	What year did the series on CBS, starring the actor who known for his role in "Rebel Without a Cause," air?
185	What season was the character introduced that becomes the main antagonist in the  following season, from the animated television series created by Bryan Konietzko and Michael Dante DiMartino as a sequel to "", which aired from 2005 to 2008?
187	Which travel parody series featured American actor, comedian, and radio host best known as the host of "The Joe Schmo Show"?
188	Do The Importance of Being Icelandic and The Five Obstructions belong to different film genres ?
190	Joe Walker played for which team that ends their regular season with the Civil War rivalry game?
191	What station broadcast the episode "Marry Me a Little, Marry Me a Little More" , of the series created by Max Mutchnick and David Kohan?
192	Georges-Henri Bousquet translated the work of a historian who is of what heritage?
195	Which Kentucky Writers Hall of Fame author has had works published by Dim Gray Bar Press?
196	What director worked with Vikram Bhatt on a film starring actors Rajneesh Duggal and Adah Sharma?
197	 Robert Smith founded the multinational company headquartered in what city?
198	What amount was the settlement that the character from the Son of al Quada got in 2017?
199	Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?
200	The 2000 British film Snatch was later adapted into a television series for what streaming service?
201	Chris Williams last played for which football club from the National League North?
202	Who designed the hotel that held the IFBB professional bodybuilding competition in September 1991?
203	At the 71st Golden Globe Awards for television in 2013, what achievement did Breaking Bad, police sitcom Brooklyn Nine-Nine and American Hustle attain?
205	Onika Tanya Maraj is a judge on a television show hosted by whom?
206	Are Hot Rod and The Memory of Our People both magazines?
207	Who was Chamberlain and Colonel of the military staff of The Merrie Monarch?
208	Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?
209	Which post DC Extended Universe actress will also play a role in what is intended to be the fifth installment of the DC Extended Universe?
210	Who was the captain of the only battleship to provide gunfire support during the Vietnam War?
211	The Polar Bears featuring the voice of Armie Hammer, is also the same voice actor for which character in Cars 3?
212	Which tower is taller, 712 Fifth Avenue or Manhattan Life Insurance Building?
213	Is the Pakistan fast bowler who joined the Kent County Cricket Club in June, 2011 a left-hand or right-hand batsmans?
215	The Tennessee Volunteers football team plays as a member for a conference in what city?
216	Ernest Foot was the best friend of the fighter pilot who had how many victories?
217	From March 631 to April 631, Farrukhzad Khosrau V was the king of an empire that succeeded which empire?
218	Which suburb is a soap opera featuring a character named Beverly Marshall set in?
219	Which country did the Falkland Islands beat in the 2010 Commonwealth games that has eleven administrative divisions?
224	What film was written and directed by Joby Harold with music written by Samuel Sim?
226	The author of The Thing of It Is... is what Nationality?
228	Martin Patterson "Pat" Hingle was a close friend of an actor who achieved success in what Western TV series?
230	What building is opposite the ceremonial meeting place of the Accession Council in the United Kingdom?
232	One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?
233	Which case came first, Craig v. Boren or United States v. Paramount Pictures, Inc.?
234	What is the nickname of the city where Darling's Waterfront Pavilion is located?
240	What arcade game is named after the only player in major league history to have a 0.300 batting average for 7 consecutive seasons?
