14	The football manager who recruited David Beckham managed Manchester United during what timeframe?
17	Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?
25	Who was the writer of These Boots Are Made for Walkin' and who died in 2007?
36	Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?
43	The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?
48	Are Ferocactus and Silene both types of plant?
55	Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.
56	D1NZ is a series based on what oversteering technique?
59	Are both Cypress and Ajuga genera?
60	What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?
72	What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? 
73	What was the name of the 1996 loose adaptation of William Shakespeare's "Romeo & Juliet" written by James Gunn?
82	Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?
92	Where does the hotel and casino located in which Bill Cosby's third album was recorded?
95	Tysons Galleria is located in what county?
109	Which airplane was this Major test-flying after whom the base, that 514th Flight Test Squadron is stated at, is named?
128	Where is the Bubblegum Alley, that is similar to Gum Wall, located in California?
138	For what type of work is the production company for The Year Without a Santa Claus best known?
142	Both Truth in Science and Discovery embrace what campaign?
167	Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?
183	Which professional ice hockey position does the Captain of the National Hockey League All-Star Game "Away Team" play?
210	Who was the captain of the only battleship to provide gunfire support during the Vietnam War?
214	Who was born first, Arthur Conan Doyle or Penelope Lively?
217	From March 631 to April 631, Farrukhzad Khosrau V was the king of an empire that succeeded which empire?
227	How long is the bridge in the Öresund Region that connect Copenhagen, Denmark and Malmo, Sweden?
236	Henry Hall is known for fighting in the Revolutionary War, and for being the first to successfully cultivate this food found in what type of bogs?
246	How many laps did Harry Prowell run during the 10,000 metres race at the 1967 Pan American Games?
247	Are  Chrysalis and Look both women's magazines?
263	Which character does this protagonist, who secretly loves and marries a member of the rival house, of William Shakespeare's tragedy that has a fictional character Benvolio slay?
268	What is the population according to the 2007 population census of the city in which the National Archives and Library of Ethiopia is located?
334	Which case was decided first, Selle v. Gibb or Reynolds v. Sims?
360	The Waterloo Vase has been used as a garden ornament at whose residence and administrative headquarters?
362	The 37th Disney animated feature film Tarzan features You'll be in my heart by which artist?
388	The man, who the award in which "Summer of the Monkeys" won, was a spokesman for white sector of America?
404	The Jeep Cherokee was originally sold as a variant of a Jeep model produced during what years?
427	Which river system in Chilhowie, Virginia was the starting place for most Longhunters?
442	What book provided the foundation for Masters and Johnson's research team?
455	What shallow water table aquifer is located near the county seat of Keith County, Nebraska?
488	What produces the hormone that promotes sodium retention in the distal nephron?
509	Who collaborated with Rihanna on the album release "Numb"?
515	What city did the Freebooters F.C. soccer team lose in that is now known as Croke Park?
523	Conrad Anker located the body of a mountaineer who took part it the first three British expeditions to which mountain?
545	The first book in the Sprawl Trilogy won what three awards?
549	WAVN is a Gospel formatted broadcast radio station tied to which city in DeSoto County, Mississippi?
585	What foundation do scholars give for the likelihood of collaboration on a William Shakespeare Play written between 1588 and 1593?
588	Which country borders the Central African Republic and is south of Libya and east of Niger?
602	North American Aviation was the company that created what single-engined training aircraft?
614	This event which was part of the 1954 AAA National Championship Trail was held at a racing circuit located at the corner of what?
618	Which North American tribe inhabited the banks of the Winnipesaukee River and were also known as the Pawtucket people?
621	What indigenous American ethnic group that inhabits land in the northern United States and southern Canada was part of the Treaty of Springwells?
624	Who was born first, Samantha Cristoforetti or Jean-Loup Chrétien
634	The Worst Journey in the World is a memoir written by which English explorer of Antarctica?
677	Where was the armory at which Model 1840 flintlock musket was produced located? 
697	The Luther seal was designed for the professor of theology of what nationalty at the behest of John Frederick of Saxony?
710	After David Stern retired from being commissioner of the NBA, this american lawyer and businessman succeed him and is now the current commissioner who is he?
733	The Aviation Hall of Fame and Museum of New Jersey is located at the airport in which New Jersey county?
734	The History of Ranching is a mural that was originally located at an American brewery that in 1999 began trasfering its production to who?
748	What type of bank organization is Pondicherry Gramin Bank that it operates in different States of India?
750	What profession does H. L. Mencken and Albert Camus have in common?
753	What church was the college Marjorie Hass is the 20th president of formerly affiliated with?
760	The La Senza brand is currently owned by a fashion retailer based in what Ohio city?
779	Iola is a city along the Neosho River in a region of Kansas that can be defined by Woddson County in the northwest, and what county in the northeast?
786	who was born first Pierre Womé or Christian Poulsen ?
832	What was Terry Owen's son's profession after retiring from football?
838	The Bodie & Benton Railway was a narrow gauge common carrier railroad in California, from the Mono Mills to a terminus in a ghost town located how many miles away from Lake Tahoe ?
844	What song written by Jimmy Webb inspired the name of a supergroup including Johnny Cash?
847	The Polar Bear and Daiquiri are both examples of what?
885	What tribe was the Megaoryzomys curioi previously in that Nesoryzomys are also in?
891	Who was born first, Ulf Merbold or Mirosław Hermaszewski?
893	What Italian region does Slinzega come from?
895	Liz Rose has co-written songs with which artist including "White Horse" and "You Belong with Me"?
923	Are Pothos and Tibouchina Aubl both flowering genus of plants?
952	What organization does Rosyth Dockyard and Queen Elizabeth-class aircraft carrier have in common?
965	Bethpage State Parkway begins with an interchange at which Long Island-based limited access highway?
969	Which brand of canned cooked meat by Hormel Foods Corporation is used to make a popular snack and lunch food in Hawaii?
971	What films were the basis for "Family Guy" and the character of Peter Griffith? 
974	Belle & Sebastian: The Adventure Continues is the sequel to the 2013 film "Belle and Sebastian", a French adventure film directed by who?
982	Out of two American colonies that had a series of skirmishes and raids between 1701 and 1765 at the disputed border, which British proprietary colony became a royal colony on the northeast coast of North America?
992	House of Many Ways is a young adult fantasy novel set in the same world as a novel that was adapted as an animated film of the same name and nominated for what?
1013	Which novelist was German, David Guterson or Thomas Mann?
1046	Heinrich Scholz was a peer of what English computer scientist, mathematician, logician, cryptanalyst, philosopher and theoretical biologist?
1048	What is the year of the event which orrurred first, Beecher's Handmade Cheese was founded, or Pike Place Market opened?
1055	The physicist who is responsible for identifying the Rabi cycle won what award?
1074	What created the terrirtories of Kansas and Nebraska and was combated by the The Republican Party?
1077	What genre was the movie that Austin Nichols was in with Kirsten Dunst?
1088	Glaramara is a fell in the English Lake District in Cumbria that stretches from Stonethwaite which is a part of a valley and civil parrish in what Borough?
1095	Gorgoroth is a band based in which Norwegian county?
1122	The Fast On-orbit Rapid Recording of Transient Events (FORTE) was co-developed and launched by this lab located a short distance northwest of Santa Fe, New Mexico that was involved with which nuclear weapon program during World War II?
1159	Anna Lewandowska is married to a footballer who plays for what club?
1165	Are both Adolfo Bioy Casares and James Norman Hall Argentinian authors?
