5	What was the theme of Super Bowl 50?
6	What day was the game played on?
8	What was the theme of Super Bowl 50?
20	What month, day and year did Super Bowl 50 take place?
40	What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?
42	What were the win/loss game stats for the Denver Bronco's regular season in 2015?
49	Who was the Most Valuable Player for the 2015 NFL season?
55	Who was the Super Bowl 50 MVP?
56	How many fumbles did Von Miller force in Super Bowl 50?
57	Which team held the scoring lead throughout the entire game?
58	Which Denver linebacker was named Super Bowl MVP?
59	How many solo tackles did Von Miller make at Super Bowl 50?
60	Who was limited by Denver's defense?
62	Who won the Super Bowl MVP?
63	How many turnovers did Cam Newton have?
67	What was the number of solo tackles that Von Miller had in Super Bowl 50?
68	How many forced fumbles did Von Miller have during the Super Bowl 50 game?
69	Who won the MVP for the Super Bowl?
70	How many tackles did Von Miller get during the game?
73	Which Newton turnover resulted in seven points for Denver?
75	What position does Von Miller play?
77	How many times did the Broncos cause turnovers in the game?
78	What Denver player caused two fumbles for the Panthers?
79	How many tackles did Von Miller accomlish by himself in the game?
83	Which performers joined the headliner during the Super Bowl 50 halftime show?
93	What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?
95	How much money did a 1/2 minute commercial cost?
100	Who were special guests for the Super Bowl halftime show?
102	What was the cost for a half minute ad?
104	What other two famous performers were part of the Super Bowl 50 halftime?
110	When did he make the quoted remarks about Super Bowl 50?
114	In early 2012, Goodell said that Super Bowl 50 would be what?
116	What year did Roger Goodell announce that Super Bowl 50 would be "important"?
121	What site is located in the San Francisco Bay Area?
125	What three stadiums did the NFL decide between for the game?
126	How many sites did the NFL narrow down Super Bowl 50's location to?
134	When were the two finalists for hosting Super Bowl 50 announced?
139	What was the other finalist besides Levi's Stadium?
140	When were the finalists announced?
142	On what date did the Florida legislature decide against the plan to renovate the Miami stadium?
146	In 2012, how many stadiums were named as finalists for hosting Super Bowl 50 before the final stadium was chosen?
147	What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?
150	What date were the top two stadium choices for Super Bowl 50 announced?
154	Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?
155	When was Levi's Stadium awarded the right to host Super Bowl 50?
161	On what date was Super Bowl 50 given to Levi's Stadium?
165	What year did Levi's Stadium become fully approved to host Super Bowl 50?
170	When was San Francisco voted to be the location for Super Bowl 50?
173	Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?
174	When was Levi's Stadium picked for Super bowl 50?
179	How many NFL teams have finished the regular season with one loss?
180	How many NFL teams have gone 15-1 in one season?
184	What was the number of times the Denver Broncos played in a Super Bowl by the time they reached Super Bowl 50?
185	How many NFL teams have had only one loss by the end of a regular season?
193	How many games did the Panthers lose in the regular season before Super Bowl 50?
198	How many teams have won 15 regular season games since the 16-game schedule was adopted?
201	How many Panthers went to the Pro Bowl?
205	What year did the the Saints hit a 13-0 record?
207	What injury did the Carolina Panthers lose Kelvin Benjamin to during their preseason?
211	How many Panthers players were selected to the Pro Bowl?
212	Which team had the best regular season in their history?
215	How many Panthers players were chosen for the 2015 season's Pro Bowl?
216	How many Pro Bowlers were on the Panthers offense?
218	How many interceptions did Cam Newton throw?
219	How many punts did Ted Ginn Jr. return?
220	Who started at tight end for the Panthers?
