0	Were Scott Derrickson and Ed Wood of the same nationality?
1	What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?
2	What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?
14	The football manager who recruited David Beckham managed Manchester United during what timeframe?
15	Brown State Fishing Lake is in a country that has a population of how many inhabitants ?
17	Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?
18	Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?
19	Which writer was from England, Henry Roth or Robert Erskine Childers?
21	This singer of A Rather Blustery Day also voiced what hedgehog?
22	Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?
25	Who was the writer of These Boots Are Made for Walkin' and who died in 2007?
26	The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?
27	Are both Dictyosperma, and Huernia described as a genus?
32	Which  French ace pilot and adventurer fly L'Oiseau Blanc
35	Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?
36	Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?
37	The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?
38	Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?
39	Ralph Hefferline was a psychology professor at a university that is located in what city?
40	Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?
43	The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?
45	A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?
47	What type of forum did a former Soviet statesman initiate?
48	Are Ferocactus and Silene both types of plant?
52	What race track in the midwest hosts a 500 mile race eavery May?
59	Are both Cypress and Ajuga genera?
61	What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?
65	What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?
70	Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the "Teen Titans"?
71	What is the inhabitant of the city where  122nd SS-Standarte was formed in2014
72	What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag?
78	What nationality were social anthropologists Alfred Gell and Edmund Leach?
79	In which year was the King who made the 1925 Birthday Honours born?
80	What is the county seat of the county where East Lempster, New Hampshire is located?
82	Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?
87	Where are Teide National Park and Garajonay National Park located?
93	Do the drinks Gibson and Zurracapote both contain gin?
99	Are Yingkou and Fuding the same level of city?
100	Where did the descendants of the group of black Indians associated with the Seminole people settle?
104	Since 2 June 2017, The Leader of Fine Gael had been held by which Irish Fine Gael politician who has served as Taoiseach and Minister for Defence?
106	hree Men on a Horse is a play by a playwright born in which year ?
107	What type of activity does Owner earnings and Warren Buffett have in common?
114	Which component of shellite has the formula (ON)CHOH?
117	What other political position did the person who introduced the DISCLOSE Act hold?
119	Are Daryl Hall and Gerry Marsden both musicians?
127	When was the palace founded at which Columba de Dunbar died in 1435?
128	Where is the Bubblegum Alley, that is similar to Gum Wall, located in California?
129	At what venue was the January 2, 2012 game featured the University of Louisville team?
134	This American crime film set in South Los Angeles was written and directed by the same director and writer of screenwriter of "Street Kings", "End of Watch", "Sabotage", "Fury" and what other film?
137	During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?
138	For what type of work is the production company for The Year Without a Santa Claus best known?
140	The author of Sexual Politics attended which British University?
147	What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?
152	The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?
153	The songs from the sountrack to "When Harry Met Sally" are performed by a singer that has had how many top 20 US albums?
154	Are Broughtonia and Laeliocattleya both orchids?
155	Where was the world cup hosted that Algeria qualified for the first time into the round of 16?
156	Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?
169	This Celtic ruler who was born in AD 43 ruled southeastern Britain prior to conquest by which empire?
172	The Memphis Hustle are based in a suburb of a city with a population of what in 2010?
179	What country does Hatton Hill and Hatton Castle, Angus have in common?
186	Who were the directors of the 2009 American science fiction film starring the actor who played Dexter Morgan in the Showtime TV Network series "Dexter"?
189	Tefik Selim Mborja was a part of a party that held power in Albania until what year?
193	In which city are the headquarters of the American research and scientific development company where Ravi Sethi worked as computer scientist located?
194	What is the full name of the viral respiratory disease in which Yi Guan's research helped to prevent the outbreak of?
204	Which actor does American Beauty and American Beauty have in common?
214	Who was born first, Arthur Conan Doyle or Penelope Lively?
220	Which Netflix series "Unbreakable" character is Elizabeth Claire Kemper known for playing?
221	Which television series featured an actor who also performed in "The Young Ones"?
222	Are both Dafeng District and Dazhou located in the same province?
223	In what century did this Native warrior and chief, whose brother Tenskwatawa led the Tippecanoe order of battle, become the primary leader of a large, multi tribal confederacy?
225	What is the name of the ethnic group who settled in Canada in the 17th century that participated in a conflict with Irish Catholic immigrants in the Shiners' War?
227	How long is the bridge in the Öresund Region that connect Copenhagen, Denmark and Malmo, Sweden?
229	Is the Marsilea or the Brabejum the genus of more individual species of plants?
231	What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?
235	The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?
236	Henry Hall is known for fighting in the Revolutionary War, and for being the first to successfully cultivate this food found in what type of bogs?
237	A scam involving a male calling small town fast-food restaurants and pretending to be a police officer to have them strip search employees was turned into a movie of what name?
238	What airport serviced by American Airlines Shuttle, is also the largest airport in the New England region and 17th busiest in the U.S?
239	Which genus has more species, Xanthoceras or Ehretia?
241	What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?
244	What class of instrument does Apatim Majumdar play?
248	Which author has won more Pulitzer Prizes, Thomas Friedman or Henri Bergson?
