# UNSUPPORTED QRELS for NQ evaluation set on FineWeb
# Generated: 2026-02-07T04:19:25.773551
# Model: Qwen/Qwen3-8B
# Top-K: 100
# Total questions: 3610
# Questions out-of-corpus: 1219
#
# Format: qid, question, official_answer
#====================================================================

2, how many seasons of the bastard executioner are there, one
4, who won last year's ncaa women's basketball, South Carolina
6, love yourself by justin bieber is about who, Rihanna
8, what is the hot coffee mod in san andreas, a normally inaccessible mini-game
9, what is the maximum data rate for the 802.11a standard select one, 54 Mbit/s
11, who sang i ran all the way home, The Impalas
12, where did the last name wallace come from, a Scottish surname
13, who was the actor that played ben stone on law and order, Michael Moriarty
15, who plays gram on the young and the restless, Max Shippee
22, how many seasons of vampire diaries r there, eight
23, how many episodes are there in dragon ball z, 291 episodes
27, who is the girl in green day 21 guns, Lisa Stelly
35, who wrote cant get you out of my head lyrics, Cathy Dennis and Rob Davis
36, where does no game no life anime end, the Elkia Federation
40, what are the ranks in the us navy, E-8s senior chief petty officer
42, who is the coach for the ottawa senators, Guy Boucher
43, last episode of what happens to my family, 53
52, who played solomon in little house on the prairie, Todd Bridges
56, who sang the song good morning good morning, Gene Kelly
59, who wrote it's a long long way to pasadena, John Young
73, who sings the theme song for the tv show cops, Inner Circle
76, who sings she's like the wind lyrics, Wendy Fraser
77, when did marathon change its name to snickers, 19 July 1990
80, who sang let me tell you about the birds and the bees, Jewel Akens
83, who is the minister of local government in zimbabwe, Hon July Moyo
87, who plays the saint of killers on preacher, Graham McTavish
93, when did amnesia the dark descent come out, 8 September 2010
99, who plays noah newman on the young and the restless, Robert Gillespie Adamson IV
103, when does the dlc for rainbow six siege come out, January 2018
107, when does season 5 of the blacklist resume, January 31  2018
109, how much money did it cost to make gta v, 137
114, when does the champions league quarter finals start, 16 March 2018
122, where does new york drinking water come from, the eastern Catskill Mountains
123, where is the citrus bowl held this year, Camping World Stadium
124, what year does the quiet man take place, the 1920s
125, how many seasons of rules of engagement is there, 7
127, who plays dusty in the movie pure country, George Strait
130, what percentage of sunlight is captured by plants to convert it into food energy, 45%
135, when did bird is the word come out, 1963
136, how tall is the actor who plays hagrid in harry potter, 6ft 1in
137, who is opening for little mix glory days tour, Sheppard
139, who voices randy in f is for family, T.J. Miller
143, when does thomas rhett's new album come out, September 8  2017
145, who is the real killer in basic instinct 2, Catherine Tramell
147, when was the last episode of vampire diaries aired, March 10  2017
150, derek and meredith get back together season 3, Staring at the Sun
152, who played zoe hart on hart of dixie, Rachel Sarah Bilson
163, where is the boy who played charlie in willy wonka, Peter Gardner[4] Ostrum
166, when is season 2 of jessica jones being released, March 8  2018
172, who is jared on the bold and the beautiful, Andrew Collins
173, who wrote knock knock knocking on heavens door, Bob Dylan
176, who plays chummy's mother in call the midwife, Cheryl Campbell
179, where do they put the tomb vampires in order to burn them during founders day, the Gilbert building
184, who made the song falling in love with you, Hugo Peretti
189, who played amy grant i i can only imagine, Nicole DuPort
190, who sings the song only in my dreams, Debbie Gibson
192, who wins the next iron chef super chefs, Zakarian
194, who sings the whiskey ain't workin anymore, Dennis Locorriere
206, when does the miz and maryse show start, 2018
209, who made the most free throws in nba history, Karl Malone
212, when did the sims 4 toddlers come out, January 2017
213, how many episodes of season 5 of curse of oak island, 18
214, how many episodes of touching evil are there, 16
215, hyori bed and breakfast season 2 air date, February 4  2018
218, who sings the song let me love you, DJ Snake featuring Justin Bieber
219, when is the fourth movie of the divergent series coming out, never made
