0	Were Scott Derrickson and Ed Wood of the same nationality?
1	What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?
2	What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?
3	Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?
4	The director of the romantic comedy "Big Stone Gap" is based in what New York city?
5	2014 S/S is the debut album of a South Korean boy group that was formed by who?
6	Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?
7	The arena where the Lewiston Maineiacs played their home games can seat how many people?
8	Who is older, Annie Morton or Terry Richardson?
9	Are Local H and For Against both from the United States?
10	What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?
11	What screenwriter with credits for "Evolution" co-wrote a film starring Nicolas Cage and Téa Leoni?
12	What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?
13	Are Random House Tower and 888 7th Avenue both used for real estate?
15	Brown State Fishing Lake is in a country that has a population of how many inhabitants ?
16	The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?
18	Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?
19	Which writer was from England, Henry Roth or Robert Erskine Childers?
20	Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?
21	This singer of A Rather Blustery Day also voiced what hedgehog?
22	Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?
23	Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? 
24	What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?
26	The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?
27	Are both Dictyosperma, and Huernia described as a genus?
28	Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?
29	What is the name for the adventure in "Tunnels and Trolls", a game designed by Ken St. Andre?
30	When was Poison's album "Shut Up, Make Love" released?
31	Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?
32	Which  French ace pilot and adventurer fly L'Oiseau Blanc
33	Are Freakonomics and In the Realm of the Hackers both American documentaries?
34	Which band, Letters to Cleo or Screaming Trees, had more members?
35	Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?
37	The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?
38	Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?
39	Ralph Hefferline was a psychology professor at a university that is located in what city?
40	Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?
41	Where is the company that Sachin Warrier worked for as a software engineer headquartered? 
42	A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?
44	Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?
45	A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?
46	Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?
47	What type of forum did a former Soviet statesman initiate?
49	Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?
50	Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?
51	In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?
52	What race track in the midwest hosts a 500 mile race eavery May?
53	In what city did the "Prince of tenors" star in a film based on an opera by Giacomo Puccini?
54	Ellie Goulding worked with what other writers on her third studio album, Delirium?
57	who is younger Keith Bostic or Jerry Glanville ?
58	According to the 2001 census, what was the population of the city in which Kirton End is located?
61	What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?
62	Who was born earlier, Emma Bull or Virginia Woolf?
63	What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?
64	Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?
65	What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?
66	Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?
67	What is the name of the singer who's song was released as the lead single from the album "Confessions", and that had popular song stuck behind for eight consecutive weeks?
68	who is the younger brother of The episode guest stars of The Hard Easy 
69	The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?
70	Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the "Teen Titans"?
71	What is the inhabitant of the city where  122nd SS-Standarte was formed in2014
74	Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?
75	What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?
76	What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?
77	Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?
78	What nationality were social anthropologists Alfred Gell and Edmund Leach?
79	In which year was the King who made the 1925 Birthday Honours born?
80	What is the county seat of the county where East Lempster, New Hampshire is located?
81	The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?
83	Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?
84	What was the name of a woman from the book titled "Their Lives: The Women Targeted by the Clinton Machine " and was also a former white house intern?
85	When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?
86	In what year was the novel that Lourenço Mutarelli based "Nina" on based first published?
87	Where are Teide National Park and Garajonay National Park located?
88	How many copies of Roald Dahl's variation on a popular anecdote sold?
89	What occupation do Chris Menges and Aram Avakian share?
90	Andrew Jaspan was the co-founder of what not-for-profit media outlet?
91	Which American film director hosted the 18th Independent Spirit Awards in 2002?
93	Do the drinks Gibson and Zurracapote both contain gin?
