4	What color was used to emphasize the 50th anniversary of the Super Bowl?
5	What was the theme of Super Bowl 50?
7	What is the AFC short for?
8	What was the theme of Super Bowl 50?
11	Who won Super Bowl 50?
12	What venue did Super Bowl 50 take place in?
13	What city did Super Bowl 50 take place in?
15	Super Bowl 50 decided the NFL champion for what season?
16	What year did the Denver Broncos secure a Super Bowl title for the third time?
17	What city did Super Bowl 50 take place in?
18	What stadium did Super Bowl 50 take place in?
19	What was the final score of Super Bowl 50? 
20	What month, day and year did Super Bowl 50 take place? 
21	What year was Super Bowl 50?
24	Who won Super Bowl 50?
25	Super Bowl 50 determined the NFL champion for what season?
26	Which team won Super Bowl 50.
27	Where was Super Bowl 50 held?
28	The name of the NFL championship game is?
29	What 2015 NFL team one the AFC playoff?
30	Which Carolina Panthers player was named Most Valuable Player?
31	How many appearances have the Denver Broncos made in the Super Bowl?
32	What year was the Carolina Panthers franchise founded?
33	What team did the Panthers defeat?
35	Who did the Panthers beat in the NFC Championship Game?
40	What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?
41	Which Carolina Panthers team member was picked as the team's MVP in 2015? 
42	What were the win/loss game stats for the Denver Bronco's regular season in 2015?
45	Who is the quarterback for the Panthers?
46	Who did Carolina beat in the NFC championship game?
47	How many times have the Panthers been in the Super Bowl?
49	Who was the Most Valuable Player for the 2015 NFL season?
50	Who did Denver beat in the 2015 AFC Championship game?
51	Who did the Carolina Panthers beat in the 2015 NFC Championship game?
52	Who was the 2015 NFL MVP?
53	Who did the Panthers beat to become the NFC champs?
54	What year did the Carolina Panthers form?
55	Who was the Super Bowl 50 MVP?
56	How many fumbles did Von Miller force in Super Bowl 50?
58	Which Denver linebacker was named Super Bowl MVP?
65	Who was given the esteemed status of MVP for Super Bowl 50?
66	What position does Von Miller play for the Denver Broncos?
72	How many times did the Denver defense force Newton into turnovers?
73	Which Newton turnover resulted in seven points for Denver?
74	Who was the Most Valuable Player of Super Bowl 50?
75	What position does Von Miller play?
78	What Denver player caused two fumbles for the Panthers?
81	What was the average cost for a 30 second commercial during Super Bowl 50?
82	Which group headlined the Super Bowl 50 halftime show?
83	Which performers joined the headliner during the Super Bowl 50 halftime show?
84	At which Super Bowl did Beyonce headline the halftime show?
86	What was the average cost of a 30-second commercial?
87	What halftime performer previously headlined Super Bowl XLVII?
88	What halftime performer previously headlined Super Bowl XLVIII?
90	Which network broadcasted the 50th Super Bowl game? 
91	What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?
92	Who was the male singer who performed as a special guest during Super Bowl 50?
95	How much money did a 1/2 minute commercial cost?
97	What two artists came out with Coldplay during the half-time show?
99	Who headlined the halftime show for Super Bowl 50?
100	Who were special guests for the Super Bowl halftime show?
101	Which Super Bowl halftime show did Beyoncé headline?
103	Who lead the Super Bowl 50 halftime performance?
106	Who was the NFL Commissioner in early 2012?
138	When did the San Francisco Bay area last host the Super Bowl?
141	In what venue did Super Bowl XIX take place?
147	What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?
149	What other city has hosted the Super Bowl ten times?
152	What city is tied with Miami for hosting the Super Bowl?
154	Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?
158	How much did it cost to build Levi's Stadium?
166	When did Levi's stadium open to the public? 
190	Prior to Super Bowl 50, when were the Broncos last there?
191	Prior to Super Bowl 50, when were the Carolina Panthers last there?
195	Before Super Bowl 50, what was the coach's name that coached both teams for their last Super Bowl appearances?
197	Which Carolina Panthers wide receiver suffered a torn ACL before the season began?
199	In what year did the NFL switch to a 16-game regular season?
204	What year did the league begin having schedules with 16 games in them?
207	What injury did the Carolina Panthers lose Kelvin Benjamin to during their preseason?
210	When did the NFL start their 16 game seasons?
237	How many career sacks did Jared Allen have?
254	Who is Denver's defensive coordinator?
257	What was the first team Peyton Manning began playing for?
258	How old was Peyton Manning in 2015?
259	In the 10th week of the 2015 season, what injury was Peyton Manning dealing with?
260	When John Fox left as head coach for the Broncos, who replaced him?
261	Who was the quarterback for the Broncos 2015 season?
265	What coach left the Broncos after the season prior to Super Bowl 50?
267	Who was the Denver head coach for Super Bowl 50?
269	Who was the defensive coordinator for the Broncos in 2015?
270	What was Peyton Manning's passer rating for the season?
275	What was the passer rating for Peyton Manning that he finished out with for the season? 
276	How may yards did Peyton Manning throw?
280	What was Manning's passer rating at the end of the season?
284	What was Manning's passer rating for the 2015 season?
295	What is the position Derek Wolfe plays currently? 
296	How many points did the Broncos defense allow their opponents to get?
303	Who lost to the Panthers in the divisional round of the playoffs?
312	Who did the Panthers play to advance to the Super Bowl?
315	What was the score for the 2015 NFC championship game?
320	Who won Super Bowl XLIX?
324	What was the final score of the game between the Broncos and Steelers?
325	Who won Super Bowl XLIX?
335	What injury did Thomas Davis suffer in the NFC Championship?
336	How many times had Thomas Davis torn his ACL in his career?
343	What injury did Thomas Davis suffer during the playoff games?
345	Who suffered a broken arm in the NFC Championship Game?
348	How old was John Elway when he played in Super Bowl XXXIII?
349	What role does John Elway currently have in the Broncos franchise?
350	Who did John Elway play for in Super Bowl XXXIII?
351	What team was the winner of Super Bowl XXXIII?
353	How old was Elway during his Super Bowl XXXIII win?
354	Who has the record of being the oldest quarter back in any Super Bowl game?
361	How old was Manning when he played Super Bowl 50?
390	What team did Justin Tucker play for?
391	What position did Justin Tucker play?
393	What position does Tucker play for with the Ravens?
402	What was the final score of Super Bowl XXXIII?
403	What team lost Super Bowl XXXIII?
405	What was Elway's final game as the Denver quarterback?
407	What was the final score for Super Bowl XXXIII?
408	What team did the Denver Broncos play in  Super Bowl XXXIII?
409	What color were the Bronco's uniforms in Super Bowl 50?
410	What jersey did the Broncos wear for Super Bowl 50?
414	What color jersey has Denver 0-4?
450	What yard marker on the field was painted gold?
453	Because of the gold theme, what was Super Bowl 50 known as?
456	Since this was the 50th one, what was the theme color for the Super Bowl?
457	In what venue did the NFL Experience take place?
458	In what city is the Moscone Center located?
461	When was the opening of "Super Bowl City"?
463	Who was the mayor of San Francisco during Super Bowl 50? 
464	Which building was the NFL Experience held at for Super Bowl 50?
465	What was the name of the event at the The Embarcadero that was held prior to Super Bowl 50 to help show off some of the things that San Francisco has to offer?
467	What opened on January 30th at the Justin Herman plaza?
469	What football associated thing started at Justin Herman Plaza in January?
473	What did the Moscone Center host?
503	What date was Super Bowl Opening Night held?
512	What is the Super Bowl program called that gives local companies business opportunities for the Super Bowl?
513	What is the name of the service that gets local businesses contract chances with the Super Bowl?
516	What is the name of the Host Committee's charitable initiative?
555	In what language did ESPN Deportes broadcast the game?
585	What brand sponsored the "Crash the Super Bowl" contest?
586	What anniversary of the Pokémon franchise was celebrated during the Super Bowl?
589	Which company held a contest whereupon contestants could enter for a chance to have their own commercial shown during Super Bowl 50?
615	Disney paid for The Jungle Book, Alice Through the Looking Glass, and which other film trailer to be aired during the game?
620	Who did play-by-play on Westwood One?
650	Who was the Most Valuable Player of Super Bowl II?
651	What player won the MVP in Super Bowl V?
652	Who was the Most Valuable Player of Super Bowl XLI?
654	Who is the present quarterback of the Broncos?
660	Who was the MVP of Super Bowl I and II?
661	Who was the MVP of Super Bowl XLI?
664	What did Lady Gaga sing?
665	What award has Marlee Matlin won?
666	What did Marlee Matlin translate?
667	Into what language did Marlee Matlin translate the national anthem?
670	Who did the National Anthem at Super Bowl 50?
671	What actor did sign language for the National Anthem at Superbowl 50?
672	Who did the Super Bowl 50 National Anthem?
674	Who did the sign language of the National Anthem at Super Bowl 50?
677	At what Super Bowl did Beyoncé headline the halftime show?
678	What was the name of the single that Coldplay and Beyoncé collaborated on?
679	What previous Super Bowl halftime show did Bruno Mars headline?
680	Who lead the halftime show of Super Bowl 50?
682	What song did Coldplay and Beyoncé collaborate on for the Super Bowl 50 halftime show?
683	Who headlined the Super Bowl 50 halftime show?
686	What other former halftime show performer joined Coldplay and Beyoncé for the Super Bowl 50 halftime show?
701	Which former referee served as an analyst for CBS?
703	Who stripped the ball from Cam Newton while sacking him on this drive?
