# SUPPORTED QRELS for NQ evaluation set on FineWeb
# Generated: 2026-02-07T04:19:25.772966
# Model: Qwen/Qwen3-8B
# Top-K: 100
# Total questions: 3610
# Questions with verified: 2391
# Total verified docs: 56857
#
# Format: qid, question, official_answer, doc_id, answer_offset
#====================================================================

0, when was the last time anyone was on the moon, 14 December 1972 UTC, shard_01177_50695, 6955
0, when was the last time anyone was on the moon, 14 December 1972 UTC, shard_00737_263, 1248
1, who wrote he ain't heavy he's my brother lyrics, Bobby Scott, shard_00004_22705, 12929
1, who wrote he ain't heavy he's my brother lyrics, Bobby Scott, shard_00989_29238, 13314
3, when did the eagles win last super bowl, 2017, shard_00170_8222, 2997
3, when did the eagles win last super bowl, 2017, shard_00497_49144, 25593
3, when did the eagles win last super bowl, 2017, shard_01249_35074, 26787
3, when did the eagles win last super bowl, 2017, shard_00026_21028, 20895
5, when did the isle of wight become an island, During the last Ice Age, shard_00176_25104, 1700
5, when did the isle of wight become an island, During the last Ice Age, shard_01637_38072, 16913
7, who was the ruler of england in 1616, James I, shard_00506_7329, 2706
7, who was the ruler of england in 1616, James I, shard_01706_43762, 1966
7, who was the ruler of england in 1616, James I, shard_01239_52923, 2143
7, who was the ruler of england in 1616, James I, shard_01251_38758, 1574
7, who was the ruler of england in 1616, James I, shard_01172_38194, 17598
7, who was the ruler of england in 1616, James I, shard_01285_17492, 17598
7, who was the ruler of england in 1616, James I, shard_01811_39501, 17598
7, who was the ruler of england in 1616, James I, shard_00942_32787, 181
7, who was the ruler of england in 1616, James I, shard_01378_10947, 181
7, who was the ruler of england in 1616, James I, shard_01696_7900, 181
7, who was the ruler of england in 1616, James I, shard_00519_17188, 707
7, who was the ruler of england in 1616, James I, shard_01265_20979, 53
7, who was the ruler of england in 1616, James I, shard_00981_33438, 1251
7, who was the ruler of england in 1616, James I, shard_01145_17577, 567
7, who was the ruler of england in 1616, James I, shard_00960_41834, 1422
7, who was the ruler of england in 1616, James I, shard_00750_13421, 3398
7, who was the ruler of england in 1616, James I, shard_00543_9035, 3953
7, who was the ruler of england in 1616, James I, shard_00784_21418, 3953
7, who was the ruler of england in 1616, James I, shard_00113_1773, 2356
7, who was the ruler of england in 1616, James I, shard_00191_35410, 2372
7, who was the ruler of england in 1616, James I, shard_01085_4603, 2372
7, who was the ruler of england in 1616, James I, shard_00470_8736, 854
7, who was the ruler of england in 1616, James I, shard_00708_31441, 854
7, who was the ruler of england in 1616, James I, shard_00256_9719, 4302
7, who was the ruler of england in 1616, James I, shard_00735_35472, 4302
7, who was the ruler of england in 1616, James I, shard_00270_35324, 810
7, who was the ruler of england in 1616, James I, shard_00973_1345, 929
7, who was the ruler of england in 1616, James I, shard_00204_3405, 9480
7, who was the ruler of england in 1616, James I, shard_00687_5477, 5490
7, who was the ruler of england in 1616, James I, shard_00832_36784, 2071
7, who was the ruler of england in 1616, James I, shard_00894_52173, 2071
7, who was the ruler of england in 1616, James I, shard_00026_50579, 302
7, who was the ruler of england in 1616, James I, shard_00814_44167, 469
7, who was the ruler of england in 1616, James I, shard_00548_43332, 5182
10, which state is located in the centre of india, Chhattisgarh, shard_01040_17942, 4328
10, which state is located in the centre of india, Chhattisgarh, shard_00062_48499, 6086
10, which state is located in the centre of india, Chhattisgarh, shard_00186_46073, 6086
10, which state is located in the centre of india, Chhattisgarh, shard_00724_14205, 6086
10, which state is located in the centre of india, Chhattisgarh, shard_01732_34597, 6086
10, which state is located in the centre of india, Chhattisgarh, shard_01048_5820, 5586
10, which state is located in the centre of india, Chhattisgarh, shard_00245_35970, 2578
